Titre,Auteur,Editeur,auteur_last_name,auteur_first_name
De la petite taupe qui voulait savoir…,Holzwarth Werner,Milan jeunesse,Holzwarth,Werner
De la terre et du ciel,Rodari Gianni,Rue du monde,Rodari,Gianni
De la terrible et magnifique histoire...,Gunzig Thomas,Zone J.,Gunzig,Thomas
De l'autre côté du mur,Teckentrup Britta,Circonflexe,Teckentrup,Britta
De quelle couleur ?,Hoban Tana,Ecole des Loisirs,Hoban,Tana
De quelle couleur est le vent ?,Herbauts Anne,Casterman,Herbauts,Anne
De quelques albums…,Defourny Michel,Ecole des loisirs,Defourny,Michel
De tout mon cœur,Baronian Jean-Baptiste,Gallimard Jeunesse,Baronian,Jean-Baptiste
Déclaration (la),Escoffier Michaël,Ecole des loisirs,Escoffier,Michaël
Dedans dehors,Ramstein Anne-Margot,Albin Michel jeunesse,Ramstein,Anne-Margot
Défilé (le),Douzou Olivier,Rouergue,Douzou,Olivier
Dégoûtant !,Guilloppé Antoine,P'tit Glénat,Guilloppé,Antoine
Déjeuner de la petite ogresse (le),Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Déjeuner des loups (le),Pennart Geoffroy de,Ecole des Loisirs,Pennart,Geoffroy de
Déjeuner des loups (le),Pennart Geoffroy de,Ecole des loisirs,Pennart,Geoffroy de
Délivrez-moi !,Sanders Alex,Ecole des Loisirs,Sanders,Alex
Delphinium contre le Dentignac (le),Dedieu Thierry,Gallimard,Dedieu,Thierry
Denis fifty-fifty,Costes Olivier,Seuil jeunesse,Costes,Olivier
Dent (la),Perrin Julien,Alice jeunesse,Perrin,Julien
Dentriste (la),Scotto Thomas,Thierry Magnier,Scotto,Thomas
Derrière la poussette,Ponti Claude,Ecole des Loisirs,Ponti,Claude
"Des bébés, des livres",Collectif,Paris Bibliothèques,Collectif,
Des couleurs et des choses,Hoban Tana,Ecole des Loisirs,Hoban,Tana
Des enfants se rencontrent par la poésie,Gendre Nathalie,Quart monde,Gendre,Nathalie
Des étoiles sur les genoux,Leblanc Catherine,Le Farfadet bleu,Leblanc,Catherine
Des hauts et des bas,Claveloux Nicole,Etre,Claveloux,Nicole
Des images et des mots,Weiss Anne,Mila,Weiss,Anne
Des livres d'enfants à la littérature de...,Poslaniec Christian,Gallimard,Poslaniec,Christian
Des livres d'images pour tous les âges,Rateau Dominique,ERES,Rateau,Dominique
Des livres d'images pour tous les âges,Rateau Dominique,ERES,Rateau,Dominique
Des milliards d'étoiles,Louchard Antonin,Thierry Magnier,Louchard,Antonin
Des mots plein les poches,Cathalo Georges,Milan,Cathalo,Georges
Des nouvelles de mon chat,Bachelet Gilles,Seuil jeunesse,Bachelet,Gilles
Des papas et des mamans,Ashbé Jeanne,Ecole des loisirs,Ashbé,Jeanne
Des petits riens au goût de citron,Detamlbel Régine,Thierry Magnier,Detamlbel,Régine
Des poux dans ma téci,Nadaud Claire,Syros,Nadaud,Claire
Des sourires et des pommes,Dubost Louis,Cadex,Dubost,Louis
Des vagues,Simler Isabelle,Courtes et longues,Simler,Isabelle
Déserteur (le),Vian Boris,Petit à petit,Vian,Boris
Désirs des animaux (les),Carminati Chiara,Grandir,Carminati,Chiara
Dessine-moi une lettre,Bertier Anne,MeMo,Bertier,Anne
Détournements de contes (Les),Pochard Mireille,Association Afflux,Pochard,Mireille
Deux arbres (les),Brami Elisabeth,Casterman,Brami,Elisabeth
Deux familles pour Lulu,Lacor Agnès,Bayard jeunesse,Lacor,Agnès
Deux goinfres (les),Corentin Philippe,Ecole des Loisirs,Corentin,Philippe
Deux grains de grenade,Scelles Millie J,Gallimard,Scelles,Millie J
Deux gredins (les),Dahl Roald,Gallimard,Dahl,Roald
Deux grenouilles,Wormell Chris,Ecole des Loisirs,Wormell,Chris
Deux mains pour le dire,Jean Didier,Syros Jeunesse,Jean,Didier
Deux maisons (les),Kowarsky Didier,Didier Jeunesse,Kowarsky,Didier
Deux oursons (les),Le Craver Jean Louis,Didier Jeunesse,Le,Craver Jean Louis
Deux petits chiens,Leo Patrice,Casterman,Leo,Patrice
Deux vies de Taro (les),Kerloc'h Jean-Pierre,Didier jeunesse,Kerloc'h,Jean-Pierre
Devant chez moi,Major Lenia,Balivernes,Major,Lenia
Devant ma maison,Dubuc Marianne,Casterman,Dubuc,Marianne
Devine,Laâbi Jocelyne,Marsam,Laâbi,Jocelyne
Devine,Dé Claire,Les Grandes Personnes,Dé,Claire
Devine combien je t'aime,Mac Bratney Sam,Ecole des Loisirs,Mac,Bratney Sam
Devine qui fait quoi,Muller Gerda,Ecole des Loisirs,Muller,Gerda
Devinettes en petits morceaux,Armellini Chiara,La joie de lire,Armellini,Chiara
Devinettes et caramboles,Dang Khoa Tran,Rue du Monde,Dang,Khoa Tran
Diakhere,Sall Mamadou,Lirabelle,Sall,Mamadou
Diamant du sultan (le),Gendrin Catherine,Rue du monde,Gendrin,Catherine
Dictature des petites couettes (la),Green Ilya,Didier jeunesse,Green,Ilya
Dictionnaire des sorcières,Solotareff Grégoire,Ecole des loisirs,Solotareff,Grégoire
Didgeridoo,Marais Frédéric,Les fourmis rouges,Marais,Frédéric
Ding dang dong,Bertrand Frédérique,MeMo,Bertrand,Frédérique
Dinosaures (les),Roland Claudine,Nathan,Roland,Claudine
"Dinosaures, dinosaures",Barton Byron,Ecole des loisirs,Barton,Byron
Din'roa la vaillante,Le Craver Jean Louis,Didier jeunesse,Le,Craver Jean Louis
Dis-moi si tu m'aimes,Malineau Jean Hugues,Milan jeunesse,Malineau,Jean Hugues
Dis-moi un poème qui espère,M Serres Alain,Rue du monde,M,Serres Alain
Disparition (la),Gutleben Muriel,Hachette,Gutleben,Muriel
Disparition (la),Frasson-Cochet Agathe,MeMo,Frasson-Cochet,Agathe
Dix minutes à perdre,Tixier Jean Christophe,Syros,Tixier,Jean Christophe
Dix petites graines,Brown Ruth,Gallimard jeunesse,Brown,Ruth
Dix petits harengs (les),Erlbruch Wolf,La joie de lire,Erlbruch,Wolf
Dix petits tanks s'en vont en guerre,Cali Davide,Thierry Magnier,Cali,Davide
Docteur Henri est débordé !,Cognet Lilas,La Palissade,Cognet,Lilas
"Docteur, j'en ai peur ! (le)",Brunelet Madeleine,Actes Sud junior,Brunelet,Madeleine
"Dodo, la marmotte qui ne voulait pas dormir",Lilienthal Henri,Catalpas,Lilienthal,Henri
Doigts rouges (les),Villard Marc,Syros Jeunesse,Villard,Marc
Dormez-vous ?,Kitzing Constanze,La joie de lire,Kitzing,Constanze
Dou et son doudou,Leynaud Johan,Sarbacane,Leynaud,Johan
D'où viens-tu Petit-Sabre ?,Vignal Hélène,Rouergue,Vignal,Hélène
Doudou de Tiloulou,Brami Elisabeth,Thierry Magnier,Brami,Elisabeth
Doudou méchant (le),Ponti Claude,Ecole des Loisirs,Ponti,Claude
Doux rêveurs,Simler Isabelle,Courtes et longues,Simler,Isabelle
Douze malices du hérisson,Laâbi Jocelyne,Yomad,Laâbi,Jocelyne
Douze manteaux de Maman (les),Sellier Marie,Le baron perché,Sellier,Marie
Douze mois pour rire,Yeoman John,Gallimard jeunesse,Yeoman,John
Douze princesses (les),Grimm Jakob et Wilhelm,Gautier-Languereau,Grimm,Jakob et Wilhelm
"Dragon bleu, dragon jaune",Soupault Philippe et Ré,Flammarion,Soupault,Philippe et Ré
Dragon de Cracovie (le),Ivanovitch Lair Albena,Flammarion,Ivanovitch,Lair Albena
Dragon vole,Elzbieta,Ecole des Loisirs,Elzbieta,
Dragons de Nalsara (les). Le troisième œuf,Delval Marie Hélène,Bayard jeunesse,Delval,Marie Hélène
Drôle de cadeau,Joly Fanny,Bayard jeunesse,Joly,Fanny
Drôle de Kâ,Legrand Marie,Compagnie créative,Legrand,Marie
Drôle de maladie de Petit Bonhomme (la),Delye Pierre,Didier jeunesse,Delye,Pierre
Drôle de nuit,Jandl Ernst,Rue du Monde,Jandl,Ernst
Drôle de pizza,Steig William,Ecole des Loisirs,Steig,William
Drôle d'œuf,Gravett Emily,Ecole des Loisirs,Gravett,Emily
Du bruit sous mon lit,Mathis,Thierry Magnier,Mathis,
Du côté des frères Grimm…,Collectif,BNF,Collectif,
Du sel sur la langue,Guillbaud Luce,Soc et foc,Guillbaud,Luce
Du soir au matin… jusqu'au soir,Bruel Christian,Etre,Bruel,Christian
Du temps,Sara,Thierry Magnier,Sara,
Duel au soleil,Marsol Manuel,L'agrume,Marsol,Manuel
D'une île à l'autre,Brun Cosme Nadine,Talents hauts,Brun,Cosme Nadine
D'une rive à l'autre,Roumiguière Cécile,A pas de loups,Roumiguière,Cécile
D'une rive à l'autre,Roumiguière Cécile,A pas de loups,Roumiguière,Cécile
Duracuire (les),Tenor Arthur,Nathan,Tenor,Arthur
Eau (L'),Collectif,Gallimard Jeunesse,Collectif,
Echelle de magicien,Elzbieta,Ecole des Loisirs,Elzbieta,
Ecole du soir (l'),Elzbieta,Rouergue,Elzbieta,
Ecole est en feu (l'),Ramos Mario,Ecole des loisirs,Ramos,Mario
Ecole qui n'existait pas (l'),Gudule,Pocket junior,Gudule,
Ecureuil de Kiko (l'),Krings Anton,Gallimard jeunesse,Krings,Anton
Edouard et Armand,Herbauts Anne,Casterman,Herbauts,Anne
Edouard et Armand. A la plage.,Herbauts Anne,Duculot Casterman,Herbauts,Anne
Edouardo le terrible,Burningham John,Gallimard jeunesse,Burningham,John
Edwina l'émeu,Knowles Sheena,Ecole des Loisirs,Knowles,Sheena
Electrico 28,Cali Davide,ABC Melody,Cali,Davide
Eléphant blanc (l'),Proeng Pich,Krom Sakamapheap,Proeng,Pich
Eléphant d'eau,Kebrety Maryam,Atelier du Scribe,Kebrety,Maryam
Eléphants,Sara,Thierry Magnier,Sara,
Eliott et Nestor,Rutten Mélanie,MeMo,Rutten,Mélanie
Elle a dit non !,Leroy Hélène,Talents hauts,Leroy,Hélène
Elmer,Mac Kee David,Ecole des Loisirs,Mac,Kee David
Eloge de la lecture,Petit Michèle,Belin,Petit,Michèle
Embrassez-moi !,Bisinski Pierrick,Ecole des Loisirs,Bisinski,Pierrick
Emile,Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
Emile est invisible,Cuvellier Vincent,Gallimard jeunesse,Cuvellier,Vincent
Empereur et le cerf-volant (l'),Yolen Jane,Le Genevrier,Yolen,Jane
En attendant maman,Tae-Jun Lee,Didier jeunesse,Tae-Jun,Lee
"En avant, petit train !",Clément Claire,Bayard,Clément,Claire
En poème ce monde,Brulet Gilles,Le Rocher,Brulet,Gilles
En rires,Poslaniec Christian,Seghers,Poslaniec,Christian
En t'attendant,Vast Emilie,MeMo,Vast,Emilie
En toutes circonstances,Gellé Albane,Le Dé bleu,Gellé,Albane
En voiture,Jalbert Philippe,Larousse,Jalbert,Philippe
Encore des histoires minute,Friot Bernard,Milan,Friot,Bernard
Encore des questions ?,Fastier Yann,Atelier du poisson soluble,Fastier,Yann
Encore un coquelicot,Serres Alain,Cheyne,Serres,Alain
Encore un peu de Zuza ?,Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Encore un peu de Zuza ?,Vaugelade Anaïs,Ecole des loisirs,Vaugelade,Anaïs
Encore une fois !,Devernois Elsa,Ecole des loisirs,Devernois,Elsa
"Encore une histoire, maman !",Hakim Miloud,Rue du Monde,Hakim,Miloud
Encyclopédie des gens qu'on connaît pas,Collectif,FLBLB,Collectif,
Enfance de l'art (l'),Elzbieta,Rouergue,Elzbieta,
Enfant de la lune rouge (l'),Coran Pierre,Didier,Coran,Pierre
Enfant d'éléphant (l'),Kipling Rudyard,Tourbillon,Kipling,Rudyard
Enfant et la baleine (l'),Davies Benji,Milan,Davies,Benji
Enfant qui défia le tigre (l'),Giraud Robert,Flammarion,Giraud,Robert
Enfant qui retrouva le sourire (l'),Malineau Jean Hugues,Albin Michel,Malineau,Jean Hugues
Enfant qu'on envoie se coucher (l'),Roy Claude,Rue du Monde,Roy,Claude
"Enfant, le renne et le loup (l')",Du Faÿ Sabine,Seuil jeunesse,Du,Faÿ Sabine
Enfantines,Bruley M. C./Tourn Lya,Ecole des loisirs,Bruley,M. C./Tourn Lya
Enfants de la lune et du soleil (les),David François,MØtus,David,François
Engins (les),Kiko,Gallimard jeunesse,Kiko,
Enigmes,Gripari Pierre,Grasset,Gripari,Pierre
Ennemi (l'),Cali Davide,Sarbacane,Cali,Davide
Enquêtes de l'inspecteur Ratichou (les),Joly Fanny,Bayard jeunesse,Joly,Fanny
Envolée,Servant Stéphane,Rue du monde,Servant,Stéphane
Ephémère,Marais Frédéric,Les fourmis rouges,Marais,Frédéric
Ephémère (l'),Sénégas Stéphane,Ecole des Loisirs,Sénégas,Stéphane
Epinards (les),Ponti Claude,Ecole des Loisirs,Ponti,Claude
Eric et le pipeau magique,Battut Eric,Bilboquet,Battut,Eric
Ernest et Célestine au cirque,Vincent Gabrielle,Casterman,Vincent,Gabrielle
Ernest et Célestine chez le photographe,Vincent Gabrielle,Ecole des Loisirs,Vincent,Gabrielle
Ernest et Célestine ont perdu Siméon,Vincent Gabrielle,Ecole des loisirs,Vincent,Gabrielle
"Ernest, maître du monde",Bouchard André,Seuil jeunesse,Bouchard,André
Escales en littérature de jeunesse,Joie par les livres,Cercle de la Librairie,Joie,par les livres
Escapade à la cour des Miracles,Mélano Olivier,Ecole des Loisirs,Mélano,Olivier
Escargot et l'éléphant (l'),Obin Manfeï,Seuil jeunesse,Obin,Manfeï
Escargots sont des héros (les),Nadaus Roland,Soc et Foc,Nadaus,Roland
Esquimau,Douzou Olivier,Rouergue,Douzou,Olivier
Est-ce que tu m'aimeras encore ?,Leblanc Catherine,Minedition,Leblanc,Catherine
Et après…,Doray Malika,Didier jeunesse,Doray,Malika
Et le loup mangea la princesse,Kimiko,Ecole des loisirs,Kimiko,
Et le matin…,Crausaz Anne,MeMo,Crausaz,Anne
Et le petit dit,Maubille Jean,Ecole des Loisirs,Maubille,Jean
Et le soir...,Crausaz Anne,MeMo,Crausaz,Anne
Et l'homme rit !,Pfeiffer Virginie,Alice jeunesse,Pfeiffer,Virginie
Et l'on chercha tortue,Collectif enfants,Ed Quart monde,Collectif,enfants
Et moi dans tout ça ?,Doray Malika,MeMo,Doray,Malika
Et Picasso peint Guernica,Serres Alain,Rue du Monde,Serres,Alain
Et pit et pat à quatre pattes,Ashbé Jeanne,Ecole des Loisirs,Ashbé,Jeanne
Et pourquoi ?,Van Zeveren Michel,Ecole des Loisirs,Van,Zeveren Michel
Et si jamais…?,Browne Anthony,Ecole des loisirs,Browne,Anthony
"Et toi, où habites-tu ?",Stella Gaia,La joie de lire,Stella,Gaia
Et voilà le travail,Collectif,Cahiers du CRILJ n° 4,Collectif,
Eté de Garmann (l'),Hole Stian,Albin Michel jeunesse,Hole,Stian
Etoile d'Erika (l'),Van der Zee Ruth,Milan,Van,der Zee Ruth
Evasion de Kamo (l'),Pennac Daniel,Gallimard,Pennac,Daniel
Eventail diabolique (l'),Bloch Muriel,Syros,Bloch,Muriel
Exactement le contraire,Hoban Tana,Ecole des Loisirs,Hoban,Tana
Exercices de style,Queneau Raymond,Gallimard,Queneau,Raymond
Extraordinaire voyage du chat de Mossoul (l'),Fontenaille Elise,Gallimard,Fontenaille,Elise
Fables,Lobel Arnold,Ecole des Loisirs,Lobel,Arnold
Fabuleux désastre d'Harold Snipperpott,Alemagna Béatrice,Albin Michel,Alemagna,Béatrice
Fabuleux fablier (le),Henry Jean-Marie,Rue du monde,Henry,Jean-Marie
Fabuleux farfelus vont au travail (les),Poirot-Chérif Sandra,Rue du monde,Poirot-Chérif,Sandra
Fabuleux voyage du bateau-cerf (le),Slater Dashka,Little Urban,Slater,Dashka
Faim de loup,Pintus Eric,Didier jeunesse,Pintus,Eric
Fait pour ça,Lejonc Régis,Rouergue,Lejonc,Régis
Faites la queue !,Ohmura Tomoko,Ecole des loisirs,Ohmura,Tomoko
Famille (la),Collectif,Gallimard jeunesse,Collectif,
Famille Citron (la),Douzou Olivier,Rouergue,Douzou,Olivier
Famille Souris et le potiron (la),Iwamura Kazuo,Ecole des Loisirs,Iwamura,Kazuo
Famille totem 1 (la),Serres Alain,Rue du Monde,Serres,Alain
Fantôme à la main rouge (le),Montardre Hélène,Nathan,Montardre,Hélène
Farceurs (les),Dubray Anne-Thérèse,L'agrume,Dubray,Anne-Thérèse
Faut toujours pas confondre,Tullet Hervé,Seuil jeunesse,Tullet,Hervé
Fée Coquillette aime les histoires d'amour (la),Lévy Didier,Albin Michel,Lévy,Didier
Fée sorcière (la),Minne Brigitte,Ecole des Loisirs,Minne,Brigitte
Fées du camping (les),Morgenstern Susie,Ecole des Loisirs,Morgenstern,Susie
Félix le chien,Lacasa Gomez Bianca,Nathan,Lacasa,Gomez Bianca
Félix Têtedeveau,Desplat-Duc Anne-Marie,Flammarion,Desplat-Duc,Anne-Marie
Femme du potier (la),Dedieu Thierry,Hong Fei,Dedieu,Thierry
Femme panthère (la),Collectif,Gallimard,Collectif,
Fenêtre (la),Ponti Claude,Ecole des Loisirs,Ponti,Claude
Ferme (la),Bessard Sylvie,Milan,Bessard,Sylvie
Ferme les yeux,Banks Kate,Gallimard Jeunesse,Banks,Kate
Ferme touche-touche (la),Dwell Studio,Helium,Dwell,Studio
Fête de l'aigle (la),Piquemal Michel,Hatier jeunesse,Piquemal,Michel
Feuileton d'Hermès (le),Szac Murielle,Bayard jeunesse,Szac,Murielle
Fil à fil,Ashbé Jeanne,Ecole des loisirs,Ashbé,Jeanne
Fil de soie (le),Roumiguière Cécile,Thierry Magnier,Roumiguière,Cécile
Fille de l'ogre (la),Joire Françoise,L'Harmattan,Joire,Françoise
Fille des batailles (la),Place François,Casterman,Place,François
Fille qui aimait les chevaux sauvages (la),Goble Paul,Le Genevrier,Goble,Paul
Fillettes et Gros Alligator,Bloch Muriel,Didier Jeunesse,Bloch,Muriel
Fils de Victor qui pète (le),Pelot Dylan,Paquet éditions,Pelot,Dylan
Fils du soleil,McDermott Gerald,Le Genevrier,McDermott,Gerald
Fleur-de-cactus et Castor-Têtu,Leroy Jean,Ecole des loisirs,Leroy,Jean
Fleuve (le),Ponti Claude,Ecole des loisirs,Ponti,Claude
Flic flac scratch boum,David François,Milan,David,François
Flix,Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
Flon-flon et Musette,Elzbieta,Ecole des Loisirs,Elzbieta,
Flûte enchantée (la),Coran Pierre,Flammarion,Coran,Pierre
Flûte prodigieuse (la),Bertron Martin Agnès,Flammarion,Bertron,Martin Agnès
Folle journée de Nasreddin Hodja (la),Fugier Laurence,Rue du monde,Fugier,Laurence
Fontaine des gazelles (la),Verdelet-Lamare Annie,Publisud,Verdelet-Lamare,Annie
Forban magnifique (le),Heurté Yves,Gallimard,Heurté,Yves
Forêt de Cœur-Bouliki (la),Godard Alex,Albin Michel,Godard,Alex
Forêt des grands (la),Mounier Fabienne,Ecole des Loisirs,Mounier,Fabienne
Foufours a peur du noir,Stehr Gérald,Ecole des Loisirs,Stehr,Gérald
Fourmi,Douzou Olivier,Rouergue,Douzou,Olivier
Fourmi (la),Dedieu Thierry,Seuil,Dedieu,Thierry
Fourmi et le loup (la),Ashbé Jeanne,Pastel,Ashbé,Jeanne
Fous d'oliviers (les),Clément Claude,Thierry Magnier,Clément,Claude
Français est un poème qui voyage (le),Henry Jean-Marie,Rue du monde,Henry,Jean-Marie
Françoise et le petit diable,Pacovska Kveta,Les Grandes Personnes,Pacovska,Kveta
Frédéric,Lionni Leo,Ecole des Loisirs,Lionni,Leo
Frères Moustaches (les),Cousseau Alex,Rouergue,Cousseau,Alex
Frigo vide,Doremus Gaëtan,Seuil jeunesse,Doremus,Gaëtan
Fruits,Baret Idatte Corinne,Yanbow Al Kitab,Baret,Idatte Corinne
Futékati : le concours de natation,Nicodème Béatrice,Hachette jeunesse,Nicodème,Béatrice
Galette à l'escampette (la),Pennart Geoffroy de,Ecole des Loisirs,Pennart,Geoffroy de
Galette et la grande ourse (la),Herbauts Anne,Casterman,Herbauts,Anne
Gamine et son roi,Vidal Séverine,Sarbacane,Vidal,Séverine
Garçon du phare (le),Ducos Max,Sarbacane,Ducos,Max
Garçon qui ne connaissait pas la peur (le),Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Gardien de l'arbre (le),Ouyessad Myriam,L'élan vert,Ouyessad,Myriam
Gaston grognon,Lang Suzanne,Casterman,Lang,Suzanne
Gâteau de lune,Chen Jiang Hong,Ecole des loisirs,Chen,Jiang Hong
Gâteau perché tout là-haut (le),Strasser Susanne,Tourbillon,Strasser,Susanne
Géant,Hoestlandt Jo,Magnard jeunesse,Hoestlandt,Jo
Géant de Zéralda (le),Ungerer Tomi,Ecole des loisirs,Ungerer,Tomi
"Géant, es-tu là ?",Greef Sabine de,Ecole des loisirs,Greef,Sabine de
Gégé et les moutons,Hudrisier Cécile,Didier Jeunesse,Hudrisier,Cécile
Gégé et les moutons,Hudrisier Cécile,Didier jeunesse,Hudrisier,Cécile
Génie du pousse-pousse (le),Noguès Jean-Côme,Milan jeunesse,Noguès,Jean-Côme
Gens d'Autour du feu (les),Scotto Thomas,Sarbacane,Scotto,Thomas
Gentil facteur (le),Ahlberg Janet et Allan,Albin Michel,Ahlberg,Janet et Allan
Gentil petit diable (le),Gripari Pierre,Gallimard,Gripari,Pierre
Georges et son Ombre,Cali Davide,Sarbacane,Cali,Davide
Girafe de la lune (la),Gudule,Milan Jeunesse,Gudule,
Globe (le),Hikmet Hazim,Rue du Monde,Hikmet,Hazim
Globiboulga,Voltz Christian,Rouergue,Voltz,Christian
Gloups ! J'ai avalé Cornebidouille !,Bertrand Pierre,Ecole des loisirs,Bertrand,Pierre
Gontran le loup gourmand,Bonnet,Des Idées et des Hommes,Bonnet,
Grain de riz (le),Gaussel Alain,Syros,Gaussel,Alain
Grain magique (le),Amrouche Taos,La Découverte poche,Amrouche,Taos
Graine de grenade,Darwiche Jihad,Ed. du Jasmin,Darwiche,Jihad
Graine en couleurs (la),Astolfi Claire,Actes Sud junior,Astolfi,Claire
Graine et l'oiseau (la),Brière Haquet Alice,Grandir,Brière,Haquet Alice
Graines de cabanes,Lechermeier Philippe,Gautier-Languereau,Lechermeier,Philippe
Grammaire en fête,Chedid Andrée,Folle avoine,Chedid,Andrée
Grammaire est une chanson douce (la),Orsenna Erik,Poche,Orsenna,Erik
Grand Blanc,Guilloppé Antoine,Casterman,Guilloppé,Antoine
Grand corbeau,Fontanel Béatrice,Sarbacane,Fontanel,Béatrice
Grand dessin (le),Blake Quentin,Gallimard,Blake,Quentin
Grand et petit,Meunier Henri,Atelier du poisson soluble,Meunier,Henri
Grand imagier de l'art (le),Le Gall Loïc,Palette,Le,Gall Loïc
Grand livre de la bagarre (le),Cali Davide,Sarbacane,Cali,Davide
Grand livre du jeune citoyen (le),Epin Bernard,Rue du monde,Epin,Bernard
Grand livre vert (le),Graves Robert,Gallimard,Graves,Robert
Grand Loup et Petit Loup,Brun Cosme Nadine,Flammarion,Brun,Cosme Nadine
Grand Loup et Petit Loup. La petite feuille,Brun Cosme Nadine,Flammarion,Brun,Cosme Nadine
Grand Loup et Petit Loup. Une si belle orange,Brun Cosme Nadine,Flammarion,Brun,Cosme Nadine
Grand match (le),Bernard Fred,Albin Michel,Bernard,Fred
Grand méchant catalogue des loups (le),Kubler Laurence,Margot,Kubler,Laurence
Grand N'importe Quoi (le),Balpe Anne Gaëlle,Frimousse,Balpe,Anne Gaëlle
Grand serpent (le),Parlange Adrien,Albin Michel,Parlange,Adrien
Grand sommeil (le),Pommaux Yvan,Ecole des Loisirs,Pommaux,Yvan
Grand sommeil et petits lits,Zoboli Giovanna,Albin Michel jeunesse,Zoboli,Giovanna
Grand voyage de Mademoiselle Prudence (le),Gastaut Charlotte,Flammarion,Gastaut,Charlotte
Grande aventure du petit magicien (la),Collectif,Ecole Centre Montauban,Collectif,
Grande famille (la),Bernstein Galia,Nathan,Bernstein,Galia
Grande fête dans la jungle (la),Colombet Julie,Sarbacane,Colombet,Julie
Grande Flore,Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Grande méchante Lou (la),Joly Fanny,Casterman,Joly,Fanny
Grande question (la),Erlbruch Wolf,Thierry Magnier,Erlbruch,Wolf
Grande Rivière (la),Rossi Annie,Magnard,Rossi,Annie
Grande vague (la),Massenot Véronique,L'élan vert,Massenot,Véronique
Grand-mère arrose la lune,Elias Jean,Bayard,Elias,Jean
"Grand-mère Loup, y es-tu ?",Brown Ken,Gallimard jeunesse,Brown,Ken
Grand-Pa,Van de Velden Edward,Albin Michel jeunesse,Van,de Velden Edward
Grands explorateurs (les),Durand Jean Benoit,Milan,Durand,Jean Benoit
Grenouille à grosse bouche (la),Vidal Francine,Didier jeunesse,Vidal,Francine
Gribouille en vadrouille,Timmers Leo,Minedition,Timmers,Leo
Gronouyot,Servant Stéphane,Didier jeunesse,Servant,Stéphane
Gros chagrin,Courgeon Rémi,Talents hauts,Courgeon,Rémi
Gros goûter (le),Servant Stéphane,Didier jeunesse,Servant,Stéphane
Gros mensonge (le),Darwiche Jihad,Lirabelle,Darwiche,Jihad
Gros mot de Lili Bobo (le),Brami Elisabeth,Seuil jeunesse,Brami,Elisabeth
Gros mots (les),Mounié Didier,Rouergue,Mounié,Didier
Gros navet (le),Tolstoï Alexis,Flammarion,Tolstoï,Alexis
Grosse bête de Monsieur Racine (la),Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
Grosse colère,Allancé Mireille d',Ecole des Loisirs,Allancé,Mireille d'
Grosse faim de P'tit Bonhomme (la),Delye Pierre,Didier jeunesse,Delye,Pierre
Grosse grève (la),Jalbert Philippe,Gautier-Languereau,Jalbert,Philippe
Grosse pomme et autres contes de gourmandise (la),Gaussel Alain,Syros,Gaussel,Alain
Grotte sacrée (la),Mélano Olivier,Ecole des Loisirs,Mélano,Olivier
Guerre (la),Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Guerre des mots (la),Dedieu Thierry,Sarbacane/Amnesty,Dedieu,Thierry
"Guide de lecture ""aimer lire""",Collectif,Education Nationale,Collectif,
Guili Lapin,Willems Mo,Ecole des Loisirs,Willems,Mo
Guillaume et la couronne du cousin Edouard,Muzo,L'élan vert,Muzo,
Guillaume l'apprenti sorcier,Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
Guillevic,Guillevic,Gallimard,Guillevic,
Gulliver,Swift Jonathan,Albin Michel jeunesse,Swift,Jonathan
Habits neufs du roi (les),Andersen Hans Christian,Jean-Pierre Delarge,Andersen,Hans Christian
"Haïku, mon nounours",Brulet Gilles,L'iroli,Brulet,Gilles
Haïti mon pays,Collectif écoliers haïtiens,La Bagnole,Collectif,écoliers haïtiens
Hans le balourd,Andersen Hans Christian,Rue du Monde,Andersen,Hans Christian
Hansel et Gretel,Grimm Jakob et Wilhelm,Ecole des Loisirs,Grimm,Jakob et Wilhelm
Hansel et Gretel,Grimm Jacob et Wilhelm,Magnard,Grimm,Jacob et Wilhelm
Hareng saur (le),Cros Charles,Rue du monde,Cros,Charles
Haut les mains !,Lhomme Sandrine,Mic-Mac,Lhomme,Sandrine
"Helena, Ivan et les oies",Bloch Muriel,Didier jeunesse,Bloch,Muriel
Henry et la liberté,Levine Ellen,Des Eléphants,Levine,Ellen
Hercule et l'hydre de Lerne,Montardre Hélène,Nathan,Montardre,Hélène
Héros de la mythologie grecque,Laffon Martine,Les fourmis rouges,Laffon,Martine
Heure bleue,Simler Isabelle,Courtes et longues,Simler,Isabelle
Heure de la lune (l'),Sanders Alex,Ecole des loisirs,Sanders,Alex
Heure du bisou (l'),Guilloppé Antoine,Gautier-Languereau,Guilloppé,Antoine
Heure rouge (l'),Bailly Maître Marie Astrid,L'élan vert,Bailly,Maître Marie Astrid
